"longitude","latitude","Al","Ca","Fe","K","Mg","Na","Ti","Be","Ce","Co","Cr","Cu","Ga","La","Li","Mo","Nb","Ni","Rb","Sc","Sn","Th","Tl","U","V","W","Y"
-108.17277,40.48679,0.338,0.051,0.055,0.176,0.014,0.083,0.007,0.8,27.5,2,13,5.5,6.6,15.5,9,0.39,3.5,4.4,61.6,1.9,0.5,4.2,0.4,1,17,0.3,7.4
-107.96561,40.47655,0.572,0.378,0.169,0.196,0.033,0.168,0.018,1.5,58.1,5.6,19,6.8,11.9,31.7,14,0.6,6.2,7.3,63.4,4.5,1,7.6,0.3,1.3,50,0.4,13
-107.64791,40.43021,0.511,0.35,0.223,0.181,0.089,0.071,0.024,1.6,58,8.3,46,16,11.7,31.5,24,0.99,8.4,21.1,80.8,7.7,1.3,10.2,0.5,2.4,74,1,17.4
-107.15096,40.4504,0.648,0.089,0.302,0.168,0.079,0.06,0.024,1.9,64.5,10.5,50,23.1,15.9,35,38,1.18,10.5,23.2,93.9,9.1,2.7,12.6,0.7,2.6,97,1.1,17.9
-106.42607,40.48686,0.72,0.061,0.204,0.285,0.042,0.12,0.02,1.9,103,6.5,27,20.2,16.4,49.8,27,1.66,12.1,11.4,183,6.9,2.1,24.1,1.1,5.1,53,0.8,12.1
-106.14008,40.44559,0.552,0.057,0.249,0.232,0.04,0.117,0.016,1.4,110,11.1,33,14.2,13.2,50.1,31,0.5,10.2,15.3,109,7.4,1.7,22,0.8,3.1,59,0.8,14.9
-105.06,40.46523,0.593,0.279,0.21,0.203,0.082,0.103,0.023,1.5,56.8,6.7,44,15,13,29.9,29,0.94,7.9,18.2,84.7,7.8,1.5,9.8,0.5,2.4,78,1.5,13.8
-103.80366,40.45138,0.527,0.095,0.119,0.252,0.029,0.145,0.014,1.8,45.6,3.1,15,6.1,11.5,27.1,11,0.54,8.2,5.6,92.3,3.7,0.9,13.9,0.5,1.8,32,0.7,14.7
-102.66479,40.43827,0.582,0.086,0.122,0.346,0.031,0.165,0.017,1.6,53.7,3.4,24,8.6,11.5,29.2,14,0.49,8,8.1,110,3.8,0.9,10.2,0.7,1.8,36,0.6,12.9
-102.0896,40.41101,0.453,0.085,0.066,0.296,0.015,0.14,0.013,1.4,35.9,1.6,8,3.8,9.47,21.4,8,0.19,8.8,3.7,97.9,2.2,0.6,5.3,0.6,1.1,20,0.3,9
-108.90517,40.37426,0.401,0.37,0.194,0.165,0.066,0.048,0.017,1.1,56.3,5.2,29,11.9,8.58,30.2,22,0.89,6,11.3,61.6,5.4,1.1,8.1,0.4,1.7,46,0.7,12
-107.3051,40.35964,0.365,0.191,0.078,0.158,0.051,0.054,0.014,0.6,50.2,3,16,5.7,7.53,25.5,11,0.23,5.1,6.7,60.7,2.9,0.8,7.8,0.3,1.5,35,0.5,8.1
-106.50412,40.4366,0.63,1.27,0.246,0.188,0.05,0.072,0.024,1.8,55.8,10.9,75,32,13.4,30.7,45,6.85,8.9,46,91.6,10.6,1.4,10.1,1.3,5.1,248,1,14.1
-105.80855,40.4241,0.629,0.078,0.302,0.235,0.06,0.099,0.025,2,96.4,10,44,22.3,16,45.1,26,1.19,13.7,18.3,128,9.5,1.9,17.8,0.6,3.5,75,1,18.9
-105.62617,40.40716,0.58,0.064,0.191,0.285,0.029,0.141,0.014,1.8,77.7,5.1,33,10.4,14,38.7,19,0.99,10.2,11.4,155,5.3,1.9,19.1,0.8,3.3,38,0.7,9
-105.31299,40.42918,0.738,0.102,0.128,0.178,0.023,0.377,0.011,2.7,29,3.3,17,7.1,17.4,13.3,50,0.42,4.2,6.3,49.5,3,0.9,6.2,0.6,2.4,26,1.1,4
-104.83256,40.42228,0.422,0.244,0.177,0.197,0.061,0.065,0.016,1.5,60.3,5.6,27,11.7,10.2,31.6,19,0.6,7.3,12.8,76.7,5.9,1.2,10.3,0.4,2.5,48,0.7,14.2
-104.22369,40.40834,0.477,0.055,0.146,0.247,0.035,0.083,0.016,1.3,48.7,4.2,24,7.3,9.61,27.2,16,0.46,7.3,9.6,84.4,4.4,0.9,10.2,0.5,1.5,44,0.6,12.9
-104.10827,40.40665,0.453,0.047,0.141,0.223,0.028,0.089,0.015,1.6,50.5,3.8,18,5.9,10.2,28.2,13,0.48,6.6,7.5,89.7,4.3,0.9,9.1,0.5,1.6,41,0.6,13.3
-103.7316,40.43546,0.557,0.075,0.068,0.245,0.015,0.157,0.006,1.8,35.1,1.8,12,3.1,11.2,21,6,0.22,5,3.5,95.2,2.1,0.5,5.2,0.6,1.1,15,0.3,8.1
-102.78011,40.39484,0.569,0.104,0.122,0.249,0.033,0.141,0.018,1.5,60.4,3.8,18,7.7,11.7,33.2,12,0.49,8.3,7,98.5,4.4,0.9,10.3,0.6,2.1,37,0.5,13.3
-102.43526,40.39559,0.436,0.071,0.096,0.252,0.02,0.12,0.013,1.1,58.7,2.4,15,5,9.71,32.8,8,0.33,7.5,5.1,95.9,3.3,0.7,8.6,0.6,1.4,24,0.5,12.1
-108.46297,40.34067,0.476,0.632,0.196,0.188,0.139,0.058,0.019,1.5,55.4,6.8,39,16.3,10.9,29.8,35,1.18,7.1,17.1,74.6,6.7,1.7,9,0.5,2.3,96,0.8,16.1
-108.343,40.40495,0.341,0.067,0.057,0.175,0.019,0.08,0.008,0.9,32.3,1.9,13,4.7,7.21,17.9,10,0.32,3.8,4.1,61.5,1.8,0.4,4.9,0.4,1,20,0.4,6.6
-107.4154,40.32896,0.566,0.255,0.297,0.234,0.158,0.089,0.029,1.4,54.1,8.2,67,21,11.8,28.9,32,0.92,7.3,29,84.7,8,1.5,8.1,0.5,2.1,110,0.8,15.4
-107.0244,40.33893,0.637,0.059,0.244,0.187,0.063,0.067,0.024,2.2,65.8,8.5,51,15.6,14.5,35.5,36,1.2,9.8,21.6,97,9,1.7,11,0.6,2.8,88,1.2,19.5
-106.01986,40.32951,0.679,0.103,0.224,0.33,0.041,0.198,0.023,2.5,134,5.6,32,12.1,17.2,64.1,37,0.61,27.4,12.4,172,6.1,2.2,22.1,1,4.7,66,0.9,16.3
-105.50165,40.37339,0.624,0.071,0.22,0.301,0.041,0.149,0.019,1.9,142,6.9,36,16.1,17.2,66.1,27,0.74,13.1,14,184,7.8,3.1,34.6,1,9.3,44,0.9,17.6
-104.43156,40.34857,0.57,0.266,0.224,0.255,0.167,0.099,0.023,1.9,84.1,7.5,34,18.3,12.9,40.8,31,1.06,13.4,14.8,98.4,7.6,2,12.9,0.6,6.3,56,1.1,20.8
-103.49278,40.34951,0.697,0.21,0.28,0.265,0.111,0.064,0.023,1.7,72.3,9.4,68,24.2,16.3,35.9,38,1.39,10.6,24.5,110,8.8,2.2,12.8,0.7,2.8,88,1.6,17.4
-103.27419,40.35352,0.458,0.063,0.113,0.226,0.029,0.099,0.015,1.2,61.3,3.5,19,6.6,9.68,31.8,11,0.58,7.7,6.3,87.9,4.1,1,10,0.6,2.1,32,0.6,12.4
-102.49251,40.3516,0.582,0.078,0.157,0.283,0.047,0.112,0.016,1.8,64.8,5.5,23,12.3,12.6,34.6,18,0.58,8.7,9.9,108,5.5,1.3,10.5,0.6,1.9,40,0.8,17.8
-108.07989,40.2478,0.472,0.181,0.197,0.173,0.059,0.031,0.018,1.2,63.2,7,28,19.4,11.9,33.3,28,0.85,6.8,13.9,72.3,7.2,1.1,8,0.5,2.1,70,0.9,16.6
-107.68713,40.34487,0.485,0.138,0.211,0.186,0.075,0.064,0.017,1.5,45.9,7.2,45,16.6,10.9,24.8,27,0.86,7.1,19.1,76.1,6.1,1.6,8.3,0.5,2.2,68,1.1,12.6
-106.86833,40.32671,0.54,0.123,0.184,0.246,0.069,0.101,0.02,2,68.6,6.2,28,12.4,12.9,37,24,1.6,12.4,13.7,104,6.4,1.8,12.7,0.6,2.9,47,1.2,19.8
-106.52934,40.32586,0.652,0.114,0.317,0.208,0.082,0.039,0.026,2.3,67.7,12.1,78,31.7,17.3,36.9,43,6.16,11.6,42.9,122,12.2,1.9,12.1,1.4,3.7,268,2,18.5
-105.61374,40.37307,0.597,0.054,0.229,0.342,0.037,0.146,0.015,1.4,81.1,6.1,29,14.8,14.6,38.3,19,1.14,8.5,12.3,188,7,2.5,17,1,3.7,40,0.4,9.9
-105.1873,40.31748,0.454,0.075,0.182,0.173,0.051,0.052,0.016,1.4,54.6,5.8,34,14.8,9.76,28.5,25,1.11,6.8,14.2,78.3,5.8,1.4,10.9,0.5,2.4,53,0.8,13.8
-104.94199,40.32109,0.548,0.167,0.208,0.265,0.063,0.124,0.019,1.6,87,6.3,36,15.5,13.1,41.8,25,0.97,8.4,16.3,104,6.3,1.4,16.7,0.6,3.2,60,0.9,17.2
-104.49022,40.31964,0.468,0.057,0.118,0.307,0.022,0.137,0.013,1.5,49.6,3.7,18,7.4,11.3,25.1,11,0.53,9,6.7,108,3.7,0.9,10,0.6,1.7,28,0.8,12.1
-103.92267,40.32047,0.517,0.086,0.173,0.204,0.037,0.101,0.014,2,74.4,5.4,23,30.9,12.9,38.4,16,0.6,11.8,10.8,90.5,5.1,2.3,16.6,0.7,3.1,38,1.5,16.2
-102.98577,40.29473,0.567,0.086,0.19,0.231,0.054,0.101,0.023,1.7,71.9,6.9,30,13.3,12.2,36.4,20,0.85,11,11.5,91.7,6.9,1.5,12.1,0.6,2.6,53,0.9,20.2
-102.25414,40.27829,0.468,0.057,0.066,0.276,0.014,0.125,0.01,1.3,36.2,1.4,10,3.5,8.8,22.3,7,0.28,6,3,100,1.9,0.5,6.3,0.5,1.2,17,0.3,8.5
-108.77779,40.25136,0.218,0.248,0.081,0.149,0.062,0.02,0.006,0.6,20.6,3.1,19,7.2,4.78,10.8,12,0.64,2.3,8.9,47.8,3,0.6,3.3,0.3,1,23,0.2,6.2
-107.43205,40.27652,0.526,0.21,0.257,0.186,0.126,0.077,0.022,1.6,61.1,10,49,17.7,12.4,33.9,29,0.97,9,26.3,84.7,7.3,1.5,10.3,0.6,2.3,91,0.9,14.3
-107.19832,40.29127,0.53,0.07,0.258,0.19,0.057,0.066,0.018,1.1,53.8,8.5,52,23.2,12.4,26.6,28,1.27,7.3,21.2,86.3,7.6,1.5,8.8,0.7,2,111,0.8,12.7
-107.09558,40.23975,0.594,0.12,0.315,0.247,0.077,0.125,0.03,1.5,66.2,13.2,60,19.7,13.4,36.1,24,0.73,9.6,30.4,117,7.7,1.5,11.2,0.6,2.3,78,0.6,13.8
-106.45425,40.25726,0.634,0.319,0.282,0.227,0.124,0.073,0.023,1.7,61.5,10,61,21.8,14.7,30.7,34,1.2,10.1,25.2,102,8.9,1.7,10.8,0.7,2.3,109,1.2,13.9
-106.31474,40.18703,0.694,0.211,0.214,0.231,0.095,0.112,0.029,1.9,71.1,7.1,37,17,15.4,38.1,31,0.78,12.2,19.5,105,7.5,1.6,13.8,0.6,2.4,59,0.9,18.6
-106.0678,40.26206,0.653,0.071,0.171,0.385,0.037,0.155,0.023,2.2,119,4.4,22,10.7,15.9,53.5,29,0.54,18.7,9.3,186,4.9,2.6,30,1.1,4.2,43,0.9,12.9
-104.80763,40.27547,0.478,0.067,0.148,0.357,0.027,0.127,0.016,1.7,78.5,4.2,20,25.5,12.3,38.1,14,0.9,12,8,125,4.4,1.8,12.7,0.7,3.4,33,0.8,16.9
-103.55566,40.26301,0.418,0.036,0.06,0.245,0.011,0.085,0.007,1,44.4,2,12,5.2,7.85,22.5,6,0.32,5.7,4.1,95.3,2,0.6,7,0.6,1.3,15,0.3,7.9
-102.79362,40.24873,0.517,0.109,0.155,0.255,0.044,0.11,0.016,1.6,70.9,5.3,23,10.9,12.6,37.7,17,0.8,9.8,10,103,5.7,1.1,12.2,0.6,2.2,41,0.9,17.2
-102.54728,40.2353,0.452,0.075,0.094,0.272,0.025,0.13,0.013,1.3,39.9,2.7,18,7.2,9.98,22.2,11,0.37,7.4,6.7,95.1,3.1,0.8,6.4,0.5,1.4,29,0.4,10.7
-102.14359,40.22717,0.413,0.065,0.049,0.283,0.013,0.129,0.008,1.1,28.2,1.3,12,3.1,8.15,17.1,6,0.17,5.5,3.7,91.3,1.6,0.4,4.1,0.5,0.9,16,0.2,7
-108.45557,40.18219,0.477,0.063,0.221,0.178,0.067,0.044,0.021,1.6,63.1,7.8,44,17.8,11.6,33,32,1.11,7.1,18.9,77,7.2,1.2,9.8,0.5,1.9,69,0.8,17.6
-108.34183,40.16626,0.428,0.288,0.16,0.193,0.103,0.054,0.019,1.3,50.5,6.3,32,16.3,8.99,26.4,24,2.04,7.1,15.1,76.4,6.1,1.1,8.2,0.5,2.4,65,0.8,15.9
-107.81065,40.22169,0.604,0.215,0.23,0.163,0.093,0.013,0.024,2,66.3,12.2,51,23.7,13.6,34,34,0.92,8.8,25.4,77.9,8.8,1.7,10.9,0.6,2.9,82,1.9,19.6
-106.82621,40.24168,0.636,0.104,0.301,0.247,0.093,0.143,0.028,2,83,11.7,57,17,15.6,45.7,30,0.85,15.6,26.4,96.5,8.4,2.1,16.6,0.7,3.4,67,0.9,19.4
-105.8858,40.21403,0.59,0.093,0.2,0.264,0.041,0.134,0.024,2,71,6.5,28,19.9,13.1,36.1,20,1.44,15.5,11.9,125,5.8,12.5,15,0.6,3.2,52,1.2,16.9
-105.55124,40.21077,0.629,0.075,0.222,0.3,0.038,0.153,0.018,1.7,121,6.1,46,15.1,15.6,59.7,24,1.77,9.9,11.3,168,5.5,1.9,32.5,0.8,8.3,49,0.5,16.8
-105.48878,40.23249,0.612,0.052,0.194,0.337,0.035,0.135,0.017,1.5,96.6,5.9,39,9.3,13.4,42.5,21,0.53,10.8,13.6,194,6.3,2.7,24.6,1.1,4.5,40,0.5,9.3
-104.17049,40.23194,0.459,0.047,0.072,0.277,0.011,0.127,0.008,1.4,32.2,1.7,11,2.9,9.46,19.6,6,0.26,5.1,3.4,104,2.3,0.6,5.3,0.6,1.2,19,0.4,7.9
-103.97991,40.23262,0.435,0.045,0.076,0.319,0.017,0.1,0.011,1.1,49.4,2.5,18,7.2,8.74,24.7,8,0.53,8,6,102,2.7,0.8,8.6,0.6,2,23,0.5,11.7
-103.35991,40.21604,0.416,0.066,0.079,0.255,0.023,0.104,0.009,1.2,36.6,2.5,10,6.1,8.8,20.2,9,0.42,5.6,6,94.1,2.5,0.7,6.6,0.4,1.4,20,0.4,9.6
-103.32224,40.20771,0.583,0.086,0.16,0.207,0.063,0.106,0.021,1.7,70,5.3,26,14.2,12.8,36.7,21,0.59,10,10.8,99.2,6.2,1.5,13.4,0.7,2.6,44,0.8,16.5
-108.17653,40.10662,0.514,0.142,0.173,0.168,0.074,0.047,0.016,1.4,56.6,6.4,41,14.6,10.5,29.4,28,1.12,6.1,15.7,85.3,6,1.2,9.5,0.6,2.4,71,0.7,12.9
-107.67696,40.21025,0.609,0.626,0.287,0.201,0.097,0.036,0.022,2,60,10.7,68,31.5,15.3,32.9,50,10.5,9.5,41.9,109,11.5,2.3,10.3,1.3,5.3,261,1,18.4
-107.28146,40.24042,0.483,1.73,0.175,0.146,0.074,0.03,0.014,1.4,32.9,7.6,63,30.7,11,18.8,42,10.7,7.4,41.1,77.6,6.9,1.4,6.7,1.9,6.8,373,0.7,15.8
-104.60257,40.18046,0.457,0.064,0.081,0.317,0.017,0.129,0.009,1.5,43,2.4,13,5.8,10.3,22,9,0.33,7.4,4.9,117,2.8,0.7,7.9,0.6,1.4,21,0.4,9.5
-104.31079,40.18165,0.481,0.056,0.067,0.288,0.012,0.13,0.008,1.2,47.5,1.5,11,1.7,9.72,24.5,6,0.21,6.3,2.9,111,2.1,0.6,8.6,0.6,1.2,15,0.3,7.6
-103.75455,40.17434,0.369,0.03,0.053,0.263,0.009,0.089,0.007,0.7,37.3,1.5,11,3.3,7.52,18.5,5,0.23,9,3,88.8,1.7,0.5,5.5,0.5,0.9,14,0.3,6.1
-102.92702,40.15506,0.569,0.094,0.114,0.207,0.037,0.134,0.017,1.4,60.5,3.7,19,8.5,11.8,33.4,13,0.48,8.3,7.8,101,4.2,1,11.6,0.6,2.2,36,0.6,13.9
-102.19942,40.13701,0.41,0.065,0.067,0.242,0.015,0.108,0.01,1.3,37.1,1.8,10,3.5,9.42,22.7,7,0.22,6.6,3.4,94.4,2.6,0.6,5.8,0.5,1.3,18,0.4,8.8
-108.92413,40.13153,0.5,0.303,0.211,0.174,0.115,0.05,0.016,1.5,40.2,6.8,50,17.3,11.3,21.4,35,1.21,7.3,20.3,84.9,6.8,1.3,7.4,0.6,2.2,88,1,13.5
-108.82722,40.09854,0.63,0.405,0.275,0.158,0.158,0.067,0.024,1.7,49.2,8.6,75,31.7,13.2,26.2,50,2.08,7.3,37.9,91.3,9.4,1.5,9,0.7,3.3,146,1.1,13.7
-106.73605,40.08484,0.604,0.098,0.275,0.221,0.08,0.11,0.024,2,82.7,12.3,56,14.3,15.2,41,29,1.16,9.7,25.2,93.1,10.2,1.6,13,0.7,4,88,1.2,19.5
-105.93008,40.14698,0.685,0.11,0.306,0.296,0.065,0.144,0.041,2.2,117,10.6,37,17.7,16.5,58.1,26,1.14,24.1,16.1,122,8.6,2.1,17.1,0.7,3.2,80,1.1,22.7
-105.30031,40.14795,0.496,0.045,0.22,0.196,0.044,0.057,0.017,2.1,134,7.2,39,13,13.9,61.9,26,0.8,9.5,14.5,112,7.3,1.7,31.2,0.8,4.9,58,1.1,16.4
-104.99976,40.13154,0.57,0.101,0.215,0.263,0.069,0.108,0.02,1.7,78.5,8.5,40,18.5,13.8,37.5,28,1.05,8.7,18.5,110,7.4,1.7,14.2,0.7,5,70,2.9,16.7
-104.80944,40.13087,0.641,0.071,0.247,0.304,0.047,0.098,0.024,2.5,131,8.5,35,35.7,15.8,61.1,22,1.75,21.1,14.4,133,8.4,3.7,19.6,0.8,5,55,1.4,29.1
-104.30109,40.11665,0.439,0.053,0.117,0.254,0.023,0.091,0.013,1.3,70.5,3.7,20,7.4,9.57,34.6,10,0.51,7.7,7.4,96,3.9,0.9,14,0.5,2.1,30,0.5,14.2
-104.09396,40.13331,0.601,0.05,0.123,0.192,0.028,0.11,0.018,1.7,68.4,5.2,25,12.3,13.2,34.6,15,0.67,10.1,10.1,114,5.4,1.2,13.3,0.7,2.7,41,0.7,14.2
-102.81322,40.11646,0.47,0.059,0.132,0.229,0.036,0.088,0.015,1.7,56.9,5.8,23,9.5,11.6,30.7,14,0.56,8.6,10.6,103,5,1.1,10.2,0.7,2.1,37,0.8,14.6
-102.62465,40.10411,0.457,0.09,0.124,0.252,0.033,0.126,0.019,1.5,63.5,3.5,28,9,10.5,34.8,12,0.69,10.9,8.4,87.7,4.2,1,11.5,0.5,2.1,42,0.5,15.4
-102.41839,40.10215,0.46,0.059,0.074,0.238,0.017,0.106,0.01,1.2,41.8,2,12,3.3,8.92,23.6,7,0.23,6.3,4.2,94,2.4,0.6,7.6,0.5,1.4,20,0.3,8.5
-102.29955,40.10445,0.438,0.072,0.068,0.254,0.016,0.114,0.01,1,40.7,2.3,20,4.4,9.24,22.3,8,0.26,6,5.2,92.9,2.3,0.6,6.6,0.5,1.4,21,0.3,8.4
-108.95606,40.05947,0.576,0.491,0.254,0.207,0.196,0.054,0.022,1.8,63.9,8.7,39,24.1,13.5,33.5,54,2.19,7.1,21.1,90.1,9.5,1.4,10.3,0.7,4.4,88,1.1,17.2
-108.60514,40.04972,0.641,0.668,0.27,0.216,0.134,0.028,0.02,1.8,57.8,10.3,50,24.8,14.6,29.9,49,4.51,8.9,24.9,107,8.2,1.9,11,0.8,3.5,116,1.2,14.7
-107.82843,40.03072,0.501,0.361,0.342,0.177,0.108,0.087,0.037,1.2,66.3,13.4,94,19.1,11.3,34,22,1.47,2.4,38.6,66.2,9.7,1.2,8.4,0.5,2.2,103,0.4,14.7
-106.99096,40.07621,0.759,0.239,0.438,0.194,0.129,0.107,0.047,1.8,81.8,20.7,85,26.4,16.7,43.5,35,1.59,5.6,53.2,89.9,13.3,1.3,9.7,0.7,2.2,181,0.5,17.5
-106.53046,40.1074,0.301,0.084,0.08,0.087,0.025,0.028,0.012,0.7,36.3,6.6,18,9.9,5.68,18.1,24,0.79,4.3,7.4,46.1,3,0.8,4.3,0.3,1.5,25,0.5,8.8
-106.25416,40.06475,0.609,0.154,0.292,0.252,0.085,0.089,0.025,1.9,89.7,9.3,39,24.3,16.1,45.9,36,1.28,14.1,19.9,122,10.3,2,14.8,0.7,3.5,73,1.4,21.1
-106.19082,40.06414,0.824,0.214,0.282,0.237,0.066,0.209,0.026,1.8,125,9.1,27,13.1,17.4,70.9,18,0.85,35.3,11.9,84.5,6.9,1.3,14.8,0.5,3.5,62,0.8,17.7
-105.49735,40.08597,0.801,0.072,0.212,0.45,0.034,0.15,0.014,1.5,320,5.8,18,22.4,25.6,130,36,1.34,13.7,7.5,282,4.9,4.5,82.6,1.8,7.4,39,0.7,14.7
-105.18598,40.10056,0.597,0.219,0.298,0.225,0.1,0.088,0.019,1.9,69,8.9,44,18.5,14.5,34.5,33,1.63,7.5,20.3,106,9.9,1.9,13.4,0.6,3,90,1,14.9
-104.74448,40.08731,0.51,0.056,0.103,0.317,0.017,0.118,0.011,1.3,69.4,2.5,17,4.5,11.2,34.2,8,0.42,9.6,6.3,126,3.4,1,10.6,0.7,1.6,25,0.5,11.6
-103.79305,40.0733,0.413,0.038,0.08,0.26,0.016,0.088,0.015,0.9,61.9,2.1,11,5.2,8.07,32.6,7,0.32,7.6,4.3,98,2.5,0.7,10.8,0.5,1.9,25,0.4,10.8
-103.73797,40.05906,0.364,0.037,0.083,0.223,0.017,0.076,0.011,1.1,54.7,2.9,12,6.5,8.32,28.5,8,0.4,6.1,5.1,89.9,3.1,0.7,9.4,0.5,1.7,25,0.5,10.7
-103.1152,40.06041,0.604,0.079,0.178,0.239,0.053,0.105,0.025,1.5,75.1,7.5,34,15.4,13.6,37.8,21,0.92,10.6,13.6,103,7.2,1.6,13.9,0.6,3.1,57,0.9,19.9
-108.78328,40.00124,0.41,0.132,0.145,0.142,0.06,0.032,0.012,1.5,43.6,6.3,40,13.7,10.4,23.9,20,0.85,5.6,14.7,67.6,6.2,1.2,8.5,0.5,2.2,50,0.8,13.4
-108.64554,40.0912,0.485,0.086,0.172,0.17,0.054,0.051,0.014,1.2,49.3,5.8,25,12.8,9.64,26.1,22,0.63,5.3,12.1,74.7,5.1,1,7.9,0.5,1.7,48,0.5,11.3
-108.01259,40.01644,0.323,0.15,0.135,0.159,0.044,0.033,0.013,1,54.4,5.5,34,12.2,7.68,27.8,19,1.3,4.2,20.7,69.7,4.7,0.8,9.1,0.4,1.9,45,0.5,12.5
-107.95377,40.02239,0.602,0.279,0.246,0.196,0.098,0.022,0.03,2,58.6,10.7,53,32.9,13.5,30.8,36,0.94,10.6,26.9,87.1,8.4,1.7,10,0.6,2.6,97,1.9,16.4
-107.48628,40.03872,0.59,0.223,0.468,0.234,0.128,0.103,0.047,1.8,84.7,19.3,104,29.7,15.6,41.5,34,1.87,12,51.5,89.3,13.7,1.6,9.3,0.5,4,118,0.9,17.7
-107.0412,40.05383,0.632,0.099,0.317,0.228,0.082,0.107,0.033,1.8,65.1,11.9,67,19,13.5,32,32,0.81,9.7,28.5,103,9.6,1.7,8.7,0.6,2.2,90,1.2,13.3
-105.78734,40.04258,0.29,0.109,0.205,0.08,0.074,0.067,0.021,0.9,34.4,9.4,46,8.3,8.19,16.3,16,0.15,6.5,21.2,53.2,7.9,1.6,3.3,0.3,0.6,53,0.3,11.7
-104.30107,40.02959,0.536,0.066,0.203,0.24,0.047,0.087,0.019,1.7,79.9,8.4,28,13.3,13.2,38.9,18,1.02,9.9,15.3,104,7.6,1.5,14.4,0.4,2.6,57,0.8,19.7
-103.79254,40.02658,0.621,0.095,0.18,0.258,0.059,0.107,0.025,1.7,79.6,6.3,30,13.7,14,41.3,21,0.72,11.2,14.2,107,6.8,1.5,15.4,0.7,3.1,62,0.9,19.1
-103.42628,40.0315,0.53,0.081,0.178,0.237,0.05,0.1,0.023,1.7,83.3,6.3,32,10.5,11.6,41,19,0.75,12,11,91.1,6.6,1.4,14.7,0.5,2.8,52,0.9,20.9
-103.11435,40.02299,0.483,0.068,0.122,0.275,0.032,0.116,0.013,1.5,59.2,3.8,17,7.4,11.6,32,14,0.46,7.1,7.5,108,4.4,0.9,9.2,0.6,1.8,34,0.6,14.1
-103.05767,40.02395,0.676,0.09,0.206,0.314,0.061,0.116,0.022,1.9,92.3,7.4,66,15.3,16,46.6,24,1.37,11.9,20.9,124,6.9,1.7,16.3,0.9,2.9,60,1,20.1
-108.2764,39.95441,0.631,0.247,0.22,0.234,0.07,0.255,0.024,2,57,9.4,51,12.8,15.2,31.2,28,0.89,10.7,19.1,90.4,8.1,1.3,9.4,0.5,2.3,54,1.4,12.5
-107.42754,40.01137,0.605,0.162,0.487,0.216,0.111,0.106,0.051,1.6,81.4,21.1,109,29.3,15.7,39.9,29,1.06,13.9,58,86.2,13.2,1.5,8.7,0.4,2,115,0.9,15.7
-106.35654,39.98276,0.601,0.201,0.251,0.211,0.146,0.072,0.023,1.7,68,8.6,58,16.4,14.2,34.2,34,4.56,8.4,22.5,108,9.7,1.8,10.6,0.7,2.7,102,1.3,14.6
-106.11981,40.03841,0.81,0.118,0.225,0.268,0.042,0.22,0.02,1.9,143,6,19,13.6,18,75.1,19,1.27,41.9,7.7,117,5.8,1.6,20.2,0.7,4.2,51,1.2,16.9
-105.91969,40.00452,0.253,0.061,0.065,0.046,0.024,0.037,0.007,0.4,45.8,2.1,10,4,3.36,23.1,6,0.28,4.5,3.8,24.5,3.4,0.3,7.1,0.1,0.9,17,0.3,6.7
-104.99746,39.99113,0.613,0.104,0.261,0.218,0.065,0.087,0.02,2,72.9,9.4,40,20.3,14.4,35.8,29,1.08,10.3,20.1,106,7.9,1.8,13,0.7,2.3,78,1.2,17.8
-104.50833,39.98486,0.504,0.091,0.161,0.257,0.042,0.074,0.017,1.3,73.6,5.5,26,10.5,11,35.3,16,0.67,9.1,11.3,105,5.3,1.2,11.9,0.7,2.3,48,0.7,14.5
-102.70375,39.94588,0.36,0.087,0.063,0.285,0.019,0.118,0.009,1.3,34.9,2,10,6.1,9.37,20.8,10,0.26,6.2,4.1,96.5,2.2,0.5,9.3,0.5,1.2,19,0.4,9.6
-102.29805,39.94906,0.557,0.123,0.18,0.265,0.056,0.101,0.017,1.8,59,5.9,30,12.7,13.1,33.6,20,0.74,14.9,11.8,110,6.4,1.3,10.9,0.7,2.3,48,1,17.1
-107.96635,39.98619,0.632,0.209,0.322,0.2,0.089,0.055,0.024,2.2,68.9,11.6,32,29,16.3,36.9,30,0.96,9.5,21.6,97.9,8.8,1.9,13.4,0.6,3.2,81,1.3,18.4
-107.96635,39.93696,0.473,0.093,0.181,0.191,0.052,0.06,0.017,1.6,56.7,7.2,28,18.7,11.8,29.9,19,0.68,7,14.3,87.3,6.7,1.2,9.4,0.6,2.1,58,1.2,14
-106.99233,39.89923,0.517,0.146,0.205,0.159,0.068,0.058,0.024,1.4,79.3,8.6,48,14.2,11.9,37.9,25,1.22,7.9,24.7,74.5,7.7,1.6,11.4,0.5,2.3,50,0.9,16.8
-106.34107,39.93192,0.668,0.215,0.338,0.192,0.059,0.1,0.016,2.2,60.6,11.3,60,32.2,14.9,30.6,39,10.4,7.3,41.7,100,8.8,1.6,10.8,1.2,3.1,192,0.6,16.9
-106.3109,39.89641,0.573,0.059,0.273,0.203,0.059,0.071,0.023,2,66.7,10.1,57,26.2,14.8,34.2,33,2.97,10.5,25.6,107,9.8,1.8,10.5,0.9,2.8,137,1.2,15
-103.99932,39.89806,0.391,0.033,0.114,0.207,0.021,0.072,0.012,1.1,55.7,3.6,18,6.9,8.15,29.2,12,0.5,7.5,6.8,83.8,3.4,0.7,9.6,0.5,1.8,33,0.5,12.7
