"longitude","latitude","Al","Ca","Fe","K","Mg","Na","Ti","Be","Ce","Co","Cr","Cu","Ga","La","Li","Mo","Nb","Ni","Rb","Sc","Sn","Th","Tl","U","V","W","Y"
-104.61335,40.86976,0.559,0.107,0.153,0.227,0.044,0.104,0.016,1.5,56.7,5.2,25,8.7,11.7,30.1,14,0.55,9.8,8,95.2,4.4,1.3,8.9,0.6,2.2,38,0.7,15.8
-104.21984,40.89534,0.595,0.197,0.119,0.29,0.055,0.153,0.013,1.8,48.1,4.9,13,7.3,13.7,26.6,19,0.52,8.5,6.7,107,4.1,1,7.2,0.7,2.2,34,1.1,12
-103.68896,40.89049,0.554,0.195,0.18,0.252,0.081,0.093,0.018,2.1,72.5,6.3,24,14.7,14.5,38.4,27,0.68,12.6,11,111,7.3,1.6,14,0.8,2.8,48,1.2,18.5
-103.34357,40.87671,0.613,0.215,0.171,0.229,0.076,0.103,0.018,1.7,63.2,5.4,18,12.4,13.1,33.5,28,0.83,11.2,9,104,5.8,1.4,11.8,0.7,3.5,44,0.9,16.8
-103.11536,40.86288,0.591,0.271,0.154,0.193,0.073,0.125,0.014,1.9,55.8,5.4,19,12.9,13,31.6,36,0.53,8.8,11.2,83.3,4.5,1.7,11.4,0.7,2.6,46,1.5,14.6
-102.82925,40.87216,0.585,0.191,0.177,0.206,0.061,0.126,0.02,1.3,77.6,5.4,43,10.4,13.3,40.1,21,0.86,10.7,13.5,108,5.4,1.5,14.1,0.7,2.9,46,0.8,15.7
-102.28619,40.85144,0.62,0.139,0.194,0.257,0.053,0.125,0.024,1.8,72.9,6.6,31,11.9,13,38.3,21,0.79,11.5,11.8,97.5,6.7,1.4,12.7,0.6,2.7,55,0.9,19.5
-102.151,40.85141,0.568,0.1,0.141,0.318,0.044,0.137,0.02,1.8,50,4.4,23,13.6,12.2,27.9,18,0.5,10.5,10.1,111,4.8,1.2,9.5,0.7,1.8,45,0.8,14.1
-108.1824,40.76188,0.651,0.232,0.267,0.24,0.099,0.073,0.023,2,82.2,10.1,44,21.2,15.5,44.2,38,1.44,12,23.7,108,8.1,1.9,16.3,0.6,3.6,75,1.1,16.3
-107.83965,40.78988,0.402,0.02,0.058,0.321,0.01,0.073,0.011,0.7,114,2.4,12,5.2,7.47,55,7,0.29,19.8,4,121,2.5,0.6,23.5,0.7,3.2,14,0.5,12.3
-107.29762,41.00534,0.408,0.185,0.196,0.175,0.075,0.021,0.016,1.4,42.7,8.7,33,21.5,9.22,22.9,26,0.83,5.7,22.6,63.2,5.6,1.1,6.6,0.4,2.1,60,0.6,15.5
-106.45921,40.87986,0.691,0.184,0.254,0.175,0.079,0.175,0.033,1.4,57.8,9.7,46,15.1,14.1,29.8,15,0.66,7.4,16.4,67.9,11.7,1.1,10.7,0.5,2.3,82,0.6,16.2
-105.94942,40.85928,0.706,0.132,0.264,0.243,0.053,0.218,0.032,2.3,119,9.2,55,19.6,17.1,60.5,18,0.82,16.1,23.9,108,8.9,1.7,21.2,0.6,3.5,77,0.7,20.7
-103.86085,40.83126,0.641,0.255,0.204,0.285,0.096,0.111,0.022,2.2,71,6.8,24,15.7,14.6,37.9,39,1.79,11.7,10.9,117,6.8,2.4,15.1,0.8,3.5,53,1.2,21.6
-103.21046,40.81848,0.589,0.166,0.163,0.222,0.056,0.122,0.017,1.3,75.9,5.2,24,11.2,13.1,39.1,19,0.69,11.1,8.7,86,4.8,1.5,14.3,0.7,2.4,43,0.8,16.4
-108.78687,40.74977,0.399,0.899,0.121,0.162,0.072,0.083,0.012,1.1,53.9,4.2,20,9,8.44,31,27,0.49,5.1,8.6,64.9,3.2,0.9,9.4,0.5,2.2,32,0.5,11
-108.11714,40.79564,0.445,0.073,0.106,0.239,0.028,0.097,0.012,1.2,69.4,4,18,7.9,9.4,36.7,13,0.53,5.4,8.9,88.6,3.5,0.9,14.4,0.5,2.7,29,0.5,10.4
-107.54865,40.77399,0.415,0.06,0.145,0.195,0.032,0.07,0.017,1.2,66.8,6.3,30,12.8,9.87,35.3,15,0.78,6.7,13.7,77.2,5.6,1,11,0.5,2.3,50,0.7,13.2
-106.96401,40.81413,0.587,0.073,0.207,0.184,0.045,0.105,0.021,1.8,72.1,9.5,41,13.1,12.6,35,22,0.84,9.3,19.3,84,5.5,1.2,9.3,0.6,2.4,55,0.8,11.4
-106.77186,40.77256,0.52,0.136,0.26,0.132,0.077,0.093,0.024,1.2,42,9.9,40,19.6,11.8,22.9,23,1,7.3,15.8,69.2,8.8,1.7,6,0.4,1.8,72,0.8,12.2
-105.92918,40.7994,0.591,0.099,0.226,0.149,0.055,0.126,0.023,1.6,53.1,9,36,9.2,12.9,27.3,19,0.62,9.2,16.2,71.6,7.4,1.4,8.6,0.6,2,49,0.5,11
-105.62701,40.79777,0.699,0.1,0.279,0.194,0.047,0.211,0.033,3.5,158,7.2,16,7.5,17,74.7,14,0.86,30.3,7.9,104,9.4,3.3,25.8,0.7,8.5,44,0.5,26.9
-105.286,40.79798,0.471,0.397,0.183,0.315,0.05,0.112,0.019,1.5,124,3.9,22,12.8,12,59.5,21,1.17,11.8,10.1,92.9,5.9,1.4,14.1,0.6,2.6,31,0.4,23.1
-104.86726,40.79782,0.458,0.051,0.162,0.248,0.038,0.085,0.018,1.3,53.3,5.2,30,11.7,10.4,27.9,16,0.75,9.1,12,82.1,4.7,1.1,8.6,0.5,2,58,0.8,15.9
-102.76936,40.76321,0.502,0.066,0.09,0.27,0.019,0.132,0.011,1.4,53.4,3.2,25,4.7,11.3,29.3,10,0.66,6.1,11.9,111,3.1,0.8,8.7,0.6,1.7,24,0.6,11.2
-102.45862,40.76355,0.475,0.069,0.077,0.261,0.014,0.134,0.009,1.4,38.2,2.1,13,4.2,9.99,23.4,6,0.32,5.8,4.1,97.9,2.5,0.5,6.3,0.6,1.4,20,0.4,8.8
-102.26755,40.76165,0.57,0.165,0.173,0.245,0.058,0.105,0.019,1.6,63.9,6.2,29,12.7,13.8,33.2,23,0.9,7.8,16.2,111,6.5,1.4,10.8,0.7,2.3,50,0.8,16.3
-108.88758,40.72659,0.419,0.274,0.119,0.178,0.059,0.103,0.013,1.1,51.2,4.9,39,7.1,10,27.8,23,1.01,5.7,18.1,66.7,4.5,0.8,7.3,0.4,1.7,33,0.5,10.4
-108.33493,40.60867,0.556,0.316,0.106,0.195,0.042,0.157,0.014,1.3,42.7,3.4,21,7.7,11,23.8,22,0.5,5.4,6.8,74.3,4,0.7,7,0.4,2.1,42,0.4,9.2
-107.39291,40.7062,0.622,0.048,0.293,0.184,0.056,0.028,0.023,1.7,82.6,11.9,54,19.7,14.8,41,29,1.19,8.3,28.2,94.5,11,1.6,9.9,0.8,2.8,129,0.9,20.4
-106.82547,40.75259,0.666,0.158,0.344,0.147,0.09,0.131,0.03,1.6,59.1,11.2,48,30.4,14.7,37.1,24,1.03,9.1,18.6,68.8,12.4,1.6,8.3,0.5,2.9,86,0.8,28
-106.28133,40.76251,0.603,0.202,0.243,0.256,0.049,0.152,0.024,1.8,102,7,32,13.4,12.9,52.8,19,0.74,15.3,12.8,107,7.5,1.5,18.6,0.6,4.2,57,1.4,18.1
-104.98901,40.75504,0.517,0.212,0.208,0.222,0.078,0.086,0.017,1.2,55.1,6.8,37,14.5,11.8,27.7,24,1.07,9.2,16.4,78.8,6.4,1.2,8.6,0.4,2.1,69,0.8,14.3
-104.55487,40.75455,0.425,0.041,0.106,0.187,0.022,0.082,0.011,1.3,40.7,3.8,15,6.1,9.02,22.2,11,0.4,6.8,6.2,82.9,3.3,0.7,6.6,0.5,1.3,34,0.5,10.7
-104.35407,40.72599,0.349,0.038,0.091,0.208,0.017,0.068,0.012,0.8,44.5,2.7,13,4.2,7.47,24.4,7,0.43,7.2,4.1,82.4,2.6,0.7,6,0.5,1.3,27,0.4,9.3
-104.16305,40.71241,0.564,0.17,0.178,0.238,0.088,0.09,0.018,1.9,77.8,6.8,24,13.2,14.7,37.3,28,0.7,10.3,15.1,111,7,1.6,12.1,0.7,2.2,44,0.9,19.8
-103.85909,40.74418,0.505,0.258,0.169,0.253,0.062,0.078,0.018,1.7,57,6.2,27,11.2,11,29.9,20,0.44,8.6,10.1,95.1,5.8,1.3,9.8,0.6,2,60,1,17
-103.72632,40.73011,0.562,0.112,0.16,0.277,0.056,0.138,0.02,1.8,63.4,5.1,21,10.3,13.3,33.1,21,0.67,11.3,9,107,5.3,1.2,11.2,0.7,2.4,45,0.8,17.8
-102.0754,40.70619,0.544,0.16,0.198,0.235,0.058,0.098,0.019,1.5,67.5,6.3,30,12.2,12.9,36.5,22,0.73,10.6,12.3,99.2,7,1.5,11.7,0.6,2.3,54,1,18.4
-108.38237,40.63205,0.645,0.332,0.165,0.26,0.081,0.155,0.018,1.5,63,8.1,48,11.1,13.5,32.7,32,2.24,10.4,16.7,78.2,5.4,1.3,10.3,0.5,2.3,48,0.7,14.1
-107.81806,40.66427,0.458,0.031,0.157,0.212,0.025,0.047,0.014,1.3,95.9,5.8,21,10.3,10.5,46.9,14,0.86,6.3,11.4,99.4,5.2,1.1,19.1,0.5,2.9,44,0.5,14.9
-107.03597,40.65631,0.377,0.028,0.104,0.206,0.013,0.022,0.012,0.6,34.8,3.1,15,6.4,7.11,18,10,0.62,5.3,4.9,82.6,2.6,0.7,4.8,0.5,1.2,29,0.4,6.6
-106.29436,40.71597,0.639,0.108,0.273,0.235,0.072,0.175,0.029,1.7,58.9,11.2,41,26.9,14.3,29.7,21,0.8,8.9,19.3,74.3,10.4,1.2,8.1,0.4,3,70,0.9,17.8
-105.311,40.68858,0.694,0.2,0.353,0.229,0.089,0.128,0.03,1.6,114,12.5,63,22.2,17.1,52.6,30,0.91,13,26.7,112,11.7,2.5,26.3,0.7,3.4,85,1.2,19.8
-103.40681,40.68216,0.571,0.078,0.114,0.268,0.031,0.145,0.016,1.7,73.5,3.5,18,6.9,12.5,39.1,12,0.46,8.2,6.5,90.3,4.1,1,15.4,0.7,2.6,33,0.6,15.9
-103.161,40.68468,0.504,0.19,0.21,0.226,0.139,0.124,0.017,1.7,51.8,7.1,33,20.8,12.4,27.3,35,1.2,10,16.2,89.3,6.7,1.7,10.1,0.6,6.5,64,1,15
-103.03762,40.68531,0.434,0.054,0.046,0.292,0.009,0.138,0.005,1.3,27.6,1.2,7,3,9.51,17.5,6,0.24,3.5,2.6,104,1.6,0.4,4.2,0.6,0.9,10,0.3,6.8
-102.91498,40.67904,0.465,0.079,0.093,0.258,0.023,0.122,0.012,1.4,59.1,2.7,14,5.5,10.7,32.1,9,0.35,8,5,104,3.2,0.9,10.9,0.6,1.8,27,0.9,11.2
-108.51252,40.63869,0.379,0.301,0.08,0.208,0.035,0.101,0.01,1.1,32.9,2.6,22,7.1,8.3,18.9,13,0.35,5.8,7.5,73.3,2.7,0.7,5.1,0.4,1.3,27,0.4,9.6
-107.52524,40.64014,0.601,0.08,0.247,0.236,0.031,0.109,0.025,1.8,129,6.5,21,9.2,14.5,73.2,14,0.82,19.2,8.6,95.4,6.1,1.3,19.1,0.5,3.8,66,0.8,19.2
-107.31791,40.64077,0.46,0.033,0.133,0.271,0.028,0.067,0.019,1.3,57.9,5.7,19,11.5,9.12,29.2,15,0.71,7.5,7.4,109,4.2,1.2,9.3,0.6,2.3,38,0.7,15.5
-106.54212,40.64632,0.589,0.063,0.228,0.271,0.034,0.146,0.017,2.6,60.5,6.4,26,21,15.5,33.1,20,1.75,16.8,14,148,5.8,2.5,15.9,1,4.3,51,1.5,18.9
